kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
KANAL;TELEVİZYON;NUMARA;YAYIN;DEĞİŞTİRMEK;İZLEMEK;1
YARIŞMA PROGRAMI;SORU;ÖDÜL;SUNUCU;KATILIMCI;STÜDYO;2
SOHBET PROGRAMI;KONUK;SUNUCU;STÜDYO;KANEPE;GECE;3
HABER SPİKERİ;MASA;OKUMAK;AKŞAM;TAKIM ELBİSE;YAYIN;2
CANLI YAYIN;ANINDA;HATA;KESİLMEK;İZLEMEK;EKRAN;2
BELGESEL;GERÇEK;ANLATIM;DOĞA;İZLEMEK;BİLGİ;2
KISA FİLM;AZ SÜRE;GENÇ;FESTİVAL;ANLATIM;YAPMAK;3
UZUN METRAJ;SÜRE;SİNEMA;FİLM;TAM;GÖSTERİM;4
AKSİYON FİLMİ;KOVALAMACA;PATLAMA;DÖVÜŞ;HIZLI;İZLEMEK;2
KORKU FİLMİ;KARANLIK;ÇIĞLIK;ZIPLAMAK;GECE;İZLEMEK;2
ROMANTİK FİLM;AŞK;ÇİFT;DUYGU;SON;İZLEMEK;2
DRAM;DUYGU;AĞLAMAK;CİDDİ;FİLM;TÜR;1
GERİLİM;MERAK;NEFES;SON;FİLM;TÜR;3
MACERA;YOLCULUK;TEHLİKE;KAHRAMAN;FİLM;HEYECAN;2
SÜPER KAHRAMAN;PELERİN;GÜÇ;KURTARMAK;ÇİZGİ;FİLM;2
YAPIM ŞİRKETİ;FİLM;İMZA;PROJE;LOGO;ÜRETİM;3
KORSAN FİLM;İZİN;İNDİRMEK;YASAK;KALİTE;İZLEMEK;3
DİJİTAL PLATFORM;ABONE;İZLEMEK;DİZİ;İNTERNET;SEÇMEK;2
İZLEME LİSTESİ;EKLEMEK;SONRA;UZAMAK;DİZİ;PLAN;3
SPOİLER;SON;SÖYLEMEK;BOZMAK;İZLEMEDEN;KIZMAK;2
FİLM AFİŞİ;DUVAR;OYUNCU;İSİM;TANITIM;ASMAK;2
YÖNETMEN KOLTUĞU;İSİM;ARKA;OTURMAK;SET;BEZ;3
AĞIR ÇEKİM;YAVAŞ;SAHNE;ETKİ;İZLEMEK;VURGU;3
GERİ DÖNÜŞ;GEÇMİŞ;SAHNE;HATIRLAMAK;ANLATIM;FİLM;3
AÇILIŞ SAHNESİ;İLK;FİLM;MERAK;BAŞLAMAK;ETKİ;3
KAPANIŞ;SON;JENERİK;MÜZİK;ÇIKMAK;SALON;3
SİNEMA BİLETİ;KOLTUK;NUMARA;SIRA;ALMAK;SAAT;1
MATİNE;ÖĞLEDEN ÖNCE;GÖSTERİM;UCUZ;SİNEMA;SEANS;4
SEANS;SAAT;GÖSTERİM;SİNEMA;SEÇMEK;BAŞLAMAK;3
ÜÇ BOYUTLU FİLM;GÖZLÜK;DERİNLİK;SİNEMA;FIRLAMAK;İZLEMEK;2
HOLLYWOOD;AMERİKA;FİLM;YILDIZ;TABELA;SEKTÖR;1
BOLLYWOOD;HİNDİSTAN;DANS;MÜZİK;FİLM;RENKLİ;2
CHAPLİN;SESSİZ;BASTON;ŞAPKA;BIYIK;GÜLDÜRÜ;2
SESSİZ FİLM;MÜZİK;YAZI;ESKİ;SİYAH BEYAZ;KONUŞMA YOK;3
SİYAH BEYAZ;RENKSİZ;ESKİ;FİLM;GÖRÜNTÜ;NOSTALJİ;2
YILDIZ SAVAŞLARI;UZAY;KILIÇ;GÜÇ;SERİ;FİLM;2
HARRY POTTER;BÜYÜ;OKUL;ÇOCUK;GÖZLÜK;KİTAP;1
MATRİX;SANAL;HAP;SİYAH;AKSİYON;FİLM;3
TERMİNATÖR;ROBOT;GELECEK;AKSİYON;DÖNECEĞİM;FİLM;2
JURASİK PARK;DİNOZOR;ADA;BİLİM;KAÇMAK;FİLM;2
TOM VE JERRY;KEDİ;FARE;KOVALAMAK;ÇİZGİ;GÜLDÜRÜ;1
PEMBE PANTER;ÇİZGİ;MÜZİK;SESSİZ;KARAKTER;RENK;2
ARI MAYA;ÇİZGİ;ÇAYIR;ARKADAŞ;ÇOCUK;KANAT;2
PİNOKYO;BURUN;YALAN;TAHTA;KUKLA;ÇOCUK;1
KUKLA;İP;OYNATMAK;AHŞAP;SAHNE;ÇOCUK;2
OYUNCU KADROSU;LİSTE;İSİM;FİLM;SEÇMEK;TOPLULUK;3
NURİ BİLGE CEYLAN;YÖNETMEN;FESTİVAL;UZUN PLAN;KIŞ UYKUSU;SESSİZ;5
KIŞ UYKUSU;FİLM;OTEL;KAPADOKYA;ÖDÜL;UZUN;4
FERZAN ÖZPETEK;YÖNETMEN;İTALYA;FİLM;HAMAM;DUYGU;4
FİLM ELEŞTİRİSİ;YORUM;PUAN;YAZAR;İZLEMEK;GÖRÜŞ;3
SEYİRCİ;KOLTUK;İZLEMEK;SALON;ALKIŞ;KALABALIK;1
SİNEFİL;TUTKUN;ÇOK İZLEMEK;FİLM;BİLGİ;MERAK;4
YAPIM YILI;TARİH;FİLM;ÇEKİLMEK;ESKİ;BİLGİ;3
HÜLYA KOÇYİĞİT;YEŞİLÇAM;OYUNCU;KADIN;FİLM;USTA;3
FATMA GİRİK;YEŞİLÇAM;OYUNCU;KADIN;FİLM;ESKİ;4
CÜNEYT ARKIN;AKSİYON;YEŞİLÇAM;KILIÇ;OYUNCU;TARİHÎ;3
SADRİ ALIŞIK;OYUNCU;TURİST ÖMER;YEŞİLÇAM;GÜLDÜRÜ;ESKİ;4
ZEKİ ALASYA;GÜLDÜRÜ;İKİLİ;METİN;OYUNCU;FİLM;3
METİN AKPINAR;GÜLDÜRÜ;TİYATRO;OYUNCU;ZEKİ;SAHNE;3
HALİT AKÇATEPE;OYUNCU;HABABAM;İNEK ŞABAN;GÜLDÜRÜ;FİLM;4
HULUSİ KENTMEN;OYUNCU;BABA;YEŞİLÇAM;İRİ;ESKİ;5
HALUK BİLGİNER;OYUNCU;USTA;DİZİ;ÖDÜL;TİYATRO;3
YILDIZ KENTER;TİYATRO;OYUNCU;USTA;SAHNE;KADIN;4
MÜJDAT GEZEN;TİYATRO;OYUNCU;OKUL;GÜLDÜRÜ;SANAT;4
LEVENT KIRCA;GÜLDÜRÜ;SKEÇ;OLACAK O KADAR;OYUNCU;TELEVİZYON;4
ATIF YILMAZ;YÖNETMEN;YEŞİLÇAM;FİLM;USTA;KADIN;4
METİN ERKSAN;YÖNETMEN;SUSUZ YAZ;ÖDÜL;FİLM;ESKİ;4
YILMAZ GÜNEY;YÖNETMEN;YOL;OYUNCU;ÖDÜL;FİLM;3
ZEKİ DEMİRKUBUZ;YÖNETMEN;KARANLIK;FİLM;BAĞIMSIZ;İNSAN;5
ÇAĞAN IRMAK;YÖNETMEN;BABAM;DUYGU;FİLM;DİZİ;3
REHA ERDEM;YÖNETMEN;BEŞ VAKİT;FİLM;ŞİİRSEL;DOĞA;4
SEMİH KAPLANOĞLU;YÖNETMEN;BAL;ÖDÜL;FİLM;SESSİZ;5
AYŞECİK;ÇOCUK;OYUNCU;YEŞİLÇAM;FİLM;SEVİMLİ;4
ÖMER LÜTFİ AKAD;YÖNETMEN;GÖÇ;FİLM;USTA;ESKİ;5
SÜT KARDEŞLER;FİLM;GÜLDÜRÜ;KEMAL SUNAL;ŞABAN;KONAK;3
TOSUN PAŞA;FİLM;GÜLDÜRÜ;KEMAL SUNAL;OSMANLI;KONAK;2
SELVİ BOYLUM;FİLM;AL YAZMALI;AŞK;YEŞİLÇAM;YOL;4
SÜRÜ;FİLM;GÖÇ;KOYUN;ANADOLU;ÖDÜL;4
MASUMİYET;FİLM;OTEL;YÖNETMEN;KARANLIK;İNSAN;4
UZAK;FİLM;İSTANBUL;KAR;YÖNETMEN;YALNIZLIK;4
KELEBEĞİN RÜYASI;FİLM;ŞAİR;ZONGULDAK;DUYGU;GENÇ;5
RECEP İVEDİK;GÜLDÜRÜ;KABA;FİLM;ŞAHAN;SERİ;2
ŞAHAN GÖKBAKAR;GÜLDÜRÜ;OYUNCU;RECEP;FİLM;TİP;3
DÜĞÜN DERNEK;FİLM;GÜLDÜRÜ;MİNİBÜS;YOLCULUK;ARKADAŞ;3
ORGANİZE İŞLER;FİLM;GÜLDÜRÜ;ARABA;ÇETE;İSTANBUL;3
BEYAZ MELEK;FİLM;DUYGU;YAŞLI;HUZUREVİ;YARDIM;4
ÇİÇEK ABBAS;FİLM;DOLMUŞ;ARKADAŞ;GÜLDÜRÜ;YEŞİLÇAM;4
LEYLA İLE MECNUN;DİZİ;ABSÜRT;GÜLDÜRÜ;ARKADAŞ;İSTANBUL;3
BEHZAT Ç;DİZİ;POLİS;ANKARA;KARANLIK;CİNAYET;4
YALAN DÜNYA;DİZİ;APARTMAN;GÜLDÜRÜ;İSTANBUL;KOMŞU;4
BİZİMKİLER;DİZİ;APARTMAN;AİLE;ESKİ;KOMŞU;4
SÜPER BABA;DİZİ;GÜLDÜRÜ;AİLE;ESKİ;BABA;4
İKİNCİ BAHAR;DİZİ;AŞK;OLGUN;ESKİ;DUYGU;4
ASMALI KONAK;DİZİ;KAPADOKYA;AŞK;KONAK;SEHER;3
EZEL;DİZİ;İNTİKAM;KUMARHANE;DÖNMEK;GİZLİ;2
KARADAYI;DİZİ;MAHİR;ADALET;ESKİ İSTANBUL;BABA;4
PEPEE;ÇİZGİ;ÇOCUK;TÜRK;ŞARKI;ÖĞRETMEK;3
CANIM AİLEM;DİZİ;GÜLDÜRÜ;AİLE;İSTANBUL;EV;4
ARKA SOKAKLAR;DİZİ;POLİS;EKİP;UZUN;SUÇ;3
KIRALIK AŞK;DİZİ;ROMANTİK;PATRON;GÜLDÜRÜ;GENÇ;4
YABANCI DİZİ;ALTYAZI;İZLEMEK;SEZON;PLATFORM;ÇEVİRİ;2
KORE DİZİSİ;UZAK DOĞU;ALTYAZI;ROMANTİK;İZLEMEK;POPÜLER;3
SİNEMA GÜNÜ;İNDİRİM;SALI;BİLET;UCUZ;KALABALIK;3
AİLE FİLMİ;HERKES;İZLEMEK;ÇOCUK;UYGUN;BİRLİKTE;2
YAŞ SINIRI;İZLEMEK;UYARI;ÇOCUK;İŞARET;FİLM;3
SERİ FİLM;DEVAM;İKİNCİ;İZLEMEK;YAPIM;BÖLÜM;3
YENİDEN ÇEKİM;ESKİ;AYNI;FİLM;YAPMAK;KARŞILAŞTIRMAK;3
KAMERA AÇISI;YÜKSEK;ALÇAK;ÇEKİM;GÖRÜNTÜ;SEÇMEK;3
YAKIN PLAN;YÜZ;DUYGU;ÇEKİM;KAMERA;GÖSTERMEK;3
GENİŞ AÇI;MANZARA;ÇEKİM;KAMERA;HEPSİ;GÖSTERMEK;3
DRON ÇEKİMİ;YUKARIDAN;UÇMAK;GÖRÜNTÜ;KAMERA;GENİŞ;3
ÇİZİM TASLAĞI;KARE;PLAN;ÖNCE;SAHNE;HAZIRLIK;4
SİTKOM;GÜLDÜRÜ;KISA;BÖLÜM;KAHKAHA;DİZİ;4
KAHKAHA EFEKTİ;SES;EKLEMEK;GÜLDÜRÜ;SİTKOM;YAPAY;5
SKEÇ;KISA;GÜLDÜRÜ;SAHNE;OYUN;PROGRAM;2
STAND UP;TEK KİŞİ;SAHNE;MİKROFON;GÜLDÜRMEK;SEYİRCİ;2
DOĞAÇLAMA;HAZIRLIKSIZ;ANINDA;SAHNE;OYUNCU;YARATMAK;3
KAMERA ŞAKASI;GİZLİ;ŞAŞIRMAK;GÜLMEK;PROGRAM;ÇEKMEK;2
YARIŞMACI;SORU;ÖDÜL;STÜDYO;ELENMEK;PROGRAM;2
JÜRİ;PUAN;KARAR;OTURMAK;YARIŞMA;YORUM;1
ELENMEK;ÇIKMAK;YARIŞMA;VEDA;PUAN;SON;3
FİNALİST;SON;YARIŞMA;KALMAK;İKİ;ÖDÜL;3
OYLAMA;İZLEYİCİ;MESAJ;SEÇMEK;SONUÇ;YARIŞMA;3
YETENEK YARIŞMASI;SAHNE;JÜRİ;GÖSTERİ;ALKIŞ;ELENMEK;2
SES YARIŞMASI;ŞARKI;JÜRİ;DÖNMEK;KOLTUK;PROGRAM;2
YEMEK YARIŞMASI;ŞEF;TABAK;SÜRE;JÜRİ;MUTFAK;2
MAGAZİN;ÜNLÜ;HABER;DEDİKODU;PROGRAM;FOTOĞRAF;2
PAPARAZZİ;FOTOĞRAF;ÜNLÜ;PEŞİNDE;GİZLİ;MAGAZİN;3
BASIN TOPLANTISI;SORU;GAZETECİ;MİKROFON;AÇIKLAMA;SALON;3
REKLAM FİLMİ;KISA;ÜRÜN;MÜZİK;TELEVİZYON;ÇEKİM;2
REKLAM MÜZİĞİ;AKILDA;KISA;TEKRAR;ÜRÜN;MELODİ;3
SLOGAN;KISA;AKILDA;MARKA;TEKRAR;SÖZ;2
LOGO;MARKA;İŞARET;RENK;TANIMAK;ÇİZİM;1
USTA OYUNCU;TECRÜBE;YILLAR;SAYGI;SAHNE;ÖRNEK;2
GENÇ OYUNCU;YENİ;KEŞFEDİLMEK;ROL;HEYECAN;İLK;2
TİP;KARAKTER;OYUNCU;CANLANDIRMAK;ÖZELLİK;TANIMAK;2
KOMEDYEN;GÜLDÜRMEK;SAHNE;ESPRİ;OYUNCU;MİMİK;2
MİMİK;YÜZ;İFADE;OYUNCU;DUYGU;GÖSTERMEK;3
JEST;EL;HAREKET;ANLATMAK;OYUNCU;BEDEN;2
VÜCUT DİLİ;HAREKET;ANLATMAK;DURUŞ;OYUNCU;İFADE;3
SAHNE KORKUSU;HEYECAN;TERLEMEK;TİTREMEK;İLK;SEYİRCİ;3
GÖSTERİ;SAHNE;İZLEMEK;IŞIK;SEYİRCİ;PROGRAM;2
TURNE;ŞEHİR;GEZMEK;GÖSTERİ;EKİP;OTOBÜS;3
HASILAT;PARA;FİLM;TOPLAM;GİŞE;KAZANÇ;4
BÜTÇE;PARA;FİLM;PLAN;HARCAMA;SINIR;2
SPONSOR;DESTEK;PARA;LOGO;PROJE;REKLAM;3
ARŞİV GÖRÜNTÜSÜ;ESKİ;KAYIT;BELGESEL;KULLANMAK;SİYAH BEYAZ;5
NOSTALJİ;ESKİ;ÖZLEM;HATIRLAMAK;GÜZEL;GEÇMİŞ;2
KLASİK FİLM;ESKİ;DEĞER;İZLENMEK;YILLAR;USTA;2
KÜLT FİLM;TUTKUN;AZ KİŞİ;ÖZEL;TEKRAR;İZLEMEK;3
UYDU YAYINI;ÇANAK;İZLEMEK;KANAL;ANTEN;ALMAK;3
ABONE OLMAK;ÖDEMEK;PLATFORM;AYLIK;İZLEMEK;KAYIT;2
AÇILIŞ MÜZİĞİ;DİZİ;BAŞLAMAK;JENERİK;TANIDIK;GEÇMEK;3
TEHLİKELİ SAHNE;DUBLÖR;ATLAMAK;YANMAK;DİKKAT;ÇEKİM;3
PATLAMA EFEKTİ;ALEV;SAHNE;GÜVENLİK;ÇEKİM;GÖRSEL;3
KOSTÜM TASARIMI;DÖNEM;DİKMEK;OYUNCU;RENK;ARAŞTIRMA;5
SANAT YÖNETMENİ;DEKOR;RENK;GÖRÜNTÜ;PLAN;SET;5
GÖRÜNTÜ YÖNETMENİ;IŞIK;KAMERA;RENK;ÇEKİM;PLAN;5
SET AMİRİ;DÜZEN;EKİP;ÇEKİM;PROGRAM;YÖNETMEK;4
SAHNE NUMARASI;KAYIT;SIRA;ÇEKİM;YAZMAK;TAKİP;5
FİLM ŞERİDİ;MAKARA;ESKİ;KARE;GÖSTERİM;SARMAK;3
RENKLİ FİLM;İLK;GEÇİŞ;ESKİ;TEKNOLOJİ;GÖRÜNTÜ;3
SESLİ SİNEMA;KONUŞMA;GEÇİŞ;İLK;ESKİ;DEVRİM;4
AÇIK HAVA SİNEMASI;YAZ;SANDALYE;PERDE;GECE;BAHÇE;2
FİLM GECESİ;EV;ARKADAŞ;PATLAMIŞ MISIR;İZLEMEK;DAVET;2
EMMY;ÖDÜL;DİZİ;AMERİKA;TÖREN;TELEVİZYON;3
ÇEKİM İZNİ;BELGE;MEKÂN;ALMAK;RESMİ;YAPIM;4
AKTÖR;ERKEK;OYUNCU;ROL;SAHNE;FİLM;2
AKTRİS;KADIN;OYUNCU;ROL;SAHNE;FİLM;2
HAYRAN;SEVMEK;TAKİP;İMZA;ÜNLÜ;FOTOĞRAF;1
İMZA ALMAK;ÜNLÜ;DEFTER;KALEM;HEYECAN;YAKLAŞMAK;2
OYUNCU AJANSI;TEMSİL;İŞ;BULMAK;SÖZLEŞME;YÖNETİM;4
FİLM PLATOSU;DEKOR;SET;YAPMAK;GERÇEK DEĞİL;ÇEKİM;4
SİNEMA PERDESİ;BEYAZ;BÜYÜK;YANSITMAK;SALON;ÖNÜ;3
KOLTUK NUMARASI;BİLET;SIRA;BULMAK;SALON;YAZMAK;2
SESSİZ OLUN;SET;KOMUT;ÇEKİM;UYARI;BAĞIRMAK;3
SAHNE ARKASI;HAZIRLIK;OYUNCU;GİZLİ;KOŞUŞTURMA;PERDE;3
OYUNCULUK;ROL;EĞİTİM;SAHNE;YETENEK;MESLEK;2
KONSERVATUVAR;EĞİTİM;SANAT;OKUL;SAHNE;GİRİŞ;3
PERDE ARASI;TİYATRO;MOLA;ÇIKMAK;İKİNCİ;BEKLEMEK;3
FİLM YILDIZI;ÜNLÜ;POPÜLER;HAYRAN;OYUNCU;PARLAK;2
ROL KAPMAK;SEÇİLMEK;OYUNCU;SEVİNÇ;PROJE;ALMAK;3
GÖRÜNTÜ KALİTESİ;NET;ÇÖZÜNÜRLÜK;İZLEMEK;EKRAN;YÜKSEK;3
SES KALİTESİ;DUYMAK;NET;HOPARLÖR;İZLEMEK;AYAR;3
EV SİNEMASI;HOPARLÖR;EKRAN;SALON;KURMAK;SES;3
FİLM ARŞİVİ;ESKİ;SAKLAMAK;KOLEKSİYON;DÜZEN;İZLEMEK;4
SİNEMA KOLTUĞU;KIRMIZI;YATMAK;RAHAT;SIRA;SALON;2
BİLET FİYATI;PAHALI;ÖDEMEK;SİNEMA;İNDİRİM;GİŞE;2
İZLEYİCİ YORUMU;PUAN;YAZMAK;İNTERNET;OKUMAK;KARAR;3
