kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
KALEM;YAZMAK;UÇ;SİLGİ;TUTMAK;KURŞUN;1
SİLGİ;SİLMEK;KALEM;İZ;YUMUŞAK;HATA;1
CETVEL;ÖLÇMEK;ÇİZGİ;SANTİM;DÜZ;PLASTİK;2
ZARF;MEKTUP;PUL;KAPATMAK;POSTA;KÂĞIT;3
PUL;ZARF;YAPIŞTIRMAK;POSTA;KOLEKSİYON;KÜÇÜK;3
HARİTA;YOL;ÜLKE;BAKMAK;KATLAMAK;ÇİZGİ;2
KİTAP;SAYFA;OKUMAK;KAPAK;RAF;YAZAR;1
GAZETE;HABER;OKUMAK;SAYFA;GÜNLÜK;BAYİ;2
MEKTUP;YAZMAK;ZARF;GÖNDERMEK;POSTA;OKUMAK;2
ANAHTARLIK;TAKMAK;CEP;HALKA;SÜS;HEDİYE;3
ÇAKMAK;ATEŞ;YAKMAK;GAZ;CEP;ALEV;2
MUM;YAKMAK;ERİMEK;IŞIK;FİTİL;DOĞUM GÜNÜ;1
KİBRİT;YAKMAK;ÇÖP;KUTU;SÜRTMEK;ALEV;2
PİL;BİTMEK;TAKMAK;ARTI EKSİ;KUMANDA;ENERJİ;2
KABLO;BAĞLAMAK;UZUN;PRİZ;DOLAŞMAK;ELEKTRİK;2
PRİZ;TAKMAK;ELEKTRİK;DUVAR;FİŞ;DELİK;2
LAVABO;YIKAMAK;MUSLUK;BANYO;EL;GİDER;2
MUSLUK;SU;AÇMAK;AKMAK;ÇEVİRMEK;DAMLAMAK;1
DUŞ;YIKANMAK;SU;BANYO;SICAK;BAŞLIK;1
KÜVET;BANYO;SU;YATMAK;DOLDURMAK;BÜYÜK;3
AYNALIK;RAF;BANYO;ÜSTÜ;KOYMAK;KÜÇÜK;5
TAVAN;YUKARI;ODA;BAKMAK;BEYAZ;YÜKSEK;2
DUVAR;ÖRMEK;BOYAMAK;ODA;ASMAK;TUĞLA;1
ZEMİN;YER;BASMAK;ALT;DÖŞEME;AYAK;3
BALKON;DIŞARI;ÇIKMAK;KORKULUK;MANZARA;ÇAMAŞIR;2
BAHÇE;ÇİÇEK;TOPRAK;EV;SULAMAK;ÇİM;1
ÇİT;BAHÇE;ÇEVRELEMEK;TAHTA;SINIR;ATLAMAK;3
KAPICI;APARTMAN;ÇÖP;YARDIM;DAİRE;GÖREVLİ;3
ASANSÖR;KAT;ÇIKMAK;DÜĞME;KABİN;SIKIŞMAK;1
KORİDOR;UZUN;GEÇMEK;DAR;KAPI;YÜRÜMEK;3
ÇATI;EV;ÜSTÜ;KİREMİT;YAĞMUR;EĞİMLİ;2
BACA;DUMAN;ÇATI;NOEL BABA;TÜTMEK;SOBA;3
SOBA;YAKMAK;ODUN;SICAK;KIŞ;BORU;2
ODUN;KESMEK;AĞAÇ;YAKMAK;BALTA;SOBA;2
BALTA;KESMEK;ODUN;SAP;KESKİN;SALLAMAK;3
TESTERE;KESMEK;TAHTA;DİŞ;İLERİ GERİ;MARANGOZ;3
MERDANE;HAMUR;AÇMAK;SİLİNDİR;YUVARLAMAK;TAHTA;5
İĞNE;DİKMEK;İPLİK;BATMAK;İNCE;DELİK;2
İPLİK;DİKMEK;İĞNE;MAKARA;İNCE;KOPMAK;3
YAMA;DELİK;DİKMEK;KAPATMAK;PANTOLON;ESKİ;4
LEKE;KİRLİ;ÇIKMAZ;GÖMLEK;SİLMEK;İZ;3
TOZ;SİLMEK;RAF;BİRİKMEK;BEZ;HAPŞIRMAK;2
KÜF;NEM;YEŞİL;KOKU;BOZULMAK;DUVAR;4
PASLANMAK;DEMİR;ISLAK;KAHVERENGİ;ESKİMEK;ÇÜRÜMEK;4
KİLİT;ANAHTAR;KAPI;AÇMAK;GÜVENLİK;ÇEVİRMEK;2
ZİL;ÇALMAK;KAPI;SES;BASMAK;OKUL;1
ALARM;ÇALMAK;UYANMAK;SES;KURMAK;SABAH;2
TERLİK;EV;GİYMEK;AYAK;RAHAT;İÇERİ;1
YORGAN;ÖRTMEK;YATAK;SICAK;KALIN;UYKU;2
NEVRESİM;YORGAN;GEÇİRMEK;YATAK;DEĞİŞTİRMEK;KUMAŞ;4
KOLONYA;LİMON;DÖKMEK;EL;BAYRAM;KOKU;2
MENDİL;BURUN;SİLMEK;CEP;KÂĞIT;KATLAMAK;2
ŞİŞE;SU;KAPAK;CAM;DOLDURMAK;DEVİRMEK;1
KAPAK;AÇMAK;ÜSTÜ;ÇEVİRMEK;KAVANOZ;ŞİŞE;2
HUNİ;DÖKMEK;DAR;GENİŞ;AKTARMAK;KONİ;5
TEPSİ;TAŞIMAK;ÜSTÜNE;ÇAY;DÜZ;SUNMAK;2
ASKI;ASMAK;DOLAP;OMUZ;KIYAFET;TEL;3
ÇENGEL;ASMAK;KANCA;EĞRİ;TAKMAK;DUVAR;4
ZİNCİR;HALKA;BAĞLAMAK;METAL;UZUN;KOPMAK;3
HALKA;YUVARLAK;ORTASI BOŞ;GEÇİRMEK;DAİRE;TAKMAK;4
TEKERLEK;YUVARLAK;DÖNMEK;ARABA;LASTİK;JANT;1
LASTİK;ESNEK;GERMEK;TEKERLEK;PATLAMAK;SİYAH;2
MOTOR;ÇALIŞMAK;ARABA;GÜÇ;SES;BENZİN;2
BENZİN;ARABA;DOLDURMAK;İSTASYON;YAKIT;PAHALI;2
FREN;DURDURMAK;ARABA;BASMAK;PEDAL;YAVAŞLAMAK;2
DİREKSİYON;ÇEVİRMEK;ARABA;YÖN;TUTMAK;SÜRMEK;2
KORNA;ÇALMAK;ARABA;SES;BASMAK;TRAFİK;2
FAR;IŞIK;ARABA;GECE;YAKMAK;ÖN;3
BAGAJ;ARABA;ARKA;EŞYA;AÇMAK;YÜKLEMEK;2
KÖPRÜ;GEÇMEK;NEHİR;İKİ YAKA;YAPMAK;ÜSTÜNDEN;1
TÜNEL;GEÇMEK;DAĞ;KARANLIK;İÇİNDEN;UZUN;2
KALDIRIM;YÜRÜMEK;YOL;KENAR;TAŞ;YAYA;2
YAYA;YÜRÜMEK;GEÇİT;ARABA DEĞİL;KALDIRIM;İNSAN;3
DURAK;BEKLEMEK;OTOBÜS;İNMEK;TABELA;YOLCU;1
BİLET;ALMAK;PARA;GİRMEK;YIRTMAK;OTOBÜS;1
CV;İŞ;YAZMAK;ÖZGEÇMİŞ;GÖNDERMEK;BAŞVURU;5
BURUN;KOKLAMAK;YÜZ;NEFES;İKİ DELİK;TIKANMAK;1
KULAK;DUYMAK;SES;İKİ TANE;KÜPE;TIKAMAK;1
PARMAK;EL;BEŞ TANE;TIRNAK;GÖSTERMEK;YÜZÜK;1
DİRSEK;KOL;BÜKMEK;EKLEM;ÇARPMAK;DAYAMAK;2
DİZ;BACAK;BÜKMEK;ÇÖKMEK;EKLEM;DÜŞMEK;2
OMUZ;KOL;ÜST;TAŞIMAK;ÇANTA;SİLKMEK;2
TOPUK;AYAK;ARKA;YÜKSEK;AĞRIMAK;BASMAK;2
KAŞ;GÖZ;ÜSTÜ;KALDIRMAK;KIL;ALMAK;2
KİRPİK;GÖZ;KIL;UZUN;KIRPMAK;MASKARA;3
DUDAK;AĞIZ;ÖPMEK;KIRMIZI;ISIRMAK;RUJ;1
DİL;AĞIZ;TAT;ÇIKARMAK;KONUŞMAK;YALAMAK;2
DAMAK;AĞIZ;ÜST;TAT;YANMAK;İÇ;4
CİĞER;NEFES;İÇ ORGAN;SİGARA;OKSİJEN;GÖĞÜS;3
BÖBREK;İÇ ORGAN;TAŞ;İKİ TANE;SÜZMEK;FASULYE;3
DAMAR;KAN;İNCE;VÜCUT;TIKANMAK;MAVİ;3
KEMİK;SERT;VÜCUT;KIRILMAK;İSKELET;KÖPEK;2
KAS;GÜÇLÜ;VÜCUT;SPOR;AĞRIMAK;ŞİŞMEK;3
DERİ;VÜCUT;ÜST;KAPLAMAK;YANMAK;YUMUŞAK;3
TER;SICAK;AKMAK;SPOR;KOKU;ALIN;2
GÖZYAŞI;AĞLAMAK;GÖZ;AKMAK;ÜZÜLMEK;DAMLA;2
NEFES;ALMAK;VERMEK;HAVA;TUTMAK;CİĞER;2
UYKU;YATMAK;GECE;RÜYA;YORGUN;GÖZ;1
RÜYA;UYKU;GÖRMEK;GECE;GERÇEK DEĞİL;UNUTMAK;2
ESNEMEK;UYKU;AĞIZ;YORGUN;BULAŞICI;AÇMAK;3
HAPŞIRMAK;BURUN;SES;SOĞUK;TOZ;ÇIKMAK;2
ÖKSÜRMEK;BOĞAZ;HASTA;SES;TIKANMAK;ŞURUP;2
GÜLMEK;KOMİK;SES;MUTLU;DİŞ;KAHKAHA;1
AĞLAMAK;GÖZYAŞI;ÜZGÜN;SES;BEBEK;HÜNGÜR;1
BAĞIRMAK;YÜKSEK SES;KIZMAK;DUYURMAK;UZAK;SUSMAK;2
FISILDAMAK;ALÇAK SES;KULAK;GİZLİ;YAKIN;DUYULMAZ;3
ISLIK;DUDAK;SES;ÇALMAK;ÇAĞIRMAK;MELODİ;3
ANNE;ÇOCUK;AİLE;KADIN;DOĞURMAK;SEVGİ;1
BABA;ÇOCUK;AİLE;ERKEK;EV REİSİ;SAYGI;1
KARDEŞ;AİLE;BÜYÜK KÜÇÜK;AYNI ANNE;KAVGA;PAYLAŞMAK;1
DEDE;YAŞLI;TORUN;BABA;SAKAL;HİKÂYE;1
NİNE;YAŞLI;TORUN;ANNE;ÖRGÜ;ŞEFKAT;2
TORUN;DEDE;KÜÇÜK;ÇOCUĞUN ÇOCUĞU;SEVİLEN;AİLE;2
AMCA;BABA;KARDEŞ;ERKEK;AKRABA;ZİYARET;2
TEYZE;ANNE;KARDEŞ;KADIN;AKRABA;SEVGİ;2
YEĞEN;KARDEŞ;ÇOCUK;AKRABA;KÜÇÜK;HEDİYE;3
GELİN;DÜĞÜN;BEYAZ;DUVAK;EVLENMEK;KAYNANA;1
DAMAT;DÜĞÜN;TAKIM;EVLENMEK;GELİN;ERKEK;2
NİKÂH;EVLENMEK;İMZA;SALON;MEMUR;YÜZÜK;3
KOMİK;GÜLMEK;ESPRİ;EĞLENCELİ;FIKRA;NEŞE;2
YALAN;GERÇEK DEĞİL;SÖYLEMEK;YAKALANMAK;UYDURMAK;GÜNAH;2
SIR;SAKLAMAK;SÖYLEMEMEK;GİZLİ;GÜVEN;FISILDAMAK;3
SÖZ;VERMEK;TUTMAK;GÜVEN;KONUŞMA;ANLAŞMA;3
KAVGA;TARTIŞMA;BAĞIRMAK;BARIŞMAK;ÖFKE;İKİ KİŞİ;2
BARIŞ;SAVAŞ DEĞİL;GÜVERCİN;ANLAŞMAK;HUZUR;DÜNYA;3
SEVGİ;KALP;ANNE;İÇTEN;DUYGU;BAĞLANMAK;2
KORKU;TİTREMEK;KARANLIK;KAÇMAK;DUYGU;ÇIĞLIK;2
UTANMAK;KIZARMAK;YÜZ;MAHCUP;SAKLANMAK;DUYGU;3
ÖZLEMEK;UZAK;HASRET;GÖRMEK İSTEMEK;AYRILIK;DUYGU;3
SABIR;BEKLEMEK;TAŞMAK;SAKİN;ZOR;ERDEM;4
CESARET;KORKMAMAK;YÜREK;ATILMAK;KAHRAMAN;GÖZE ALMAK;4
KISKANMAK;BAŞKASI;İSTEMEK;GÖZ;RAHATSIZ;DUYGU;3
PİŞMANLIK;KEŞKE;GEÇMİŞ;HATA;ÜZÜLMEK;SONRA;4
GURUR;ONUR;BAŞARI;YÜKSEK;KIRILMAK;DUYMAK;4
MERAK;SORMAK;ÖĞRENMEK;İSTEK;KEDİ;ARAŞTIRMAK;3
GÜNEŞ;SICAK;IŞIK;SARI;DOĞMAK;GÖKYÜZÜ;1
DOLUNAY;GECE;YUVARLAK;GÖKYÜZÜ;PARLAK;AYIN HÂLİ;3
YILDIZ;GECE;PARLAK;GÖKYÜZÜ;SAYMAK;KAYMAK;1
ŞİMŞEK;GÖK;IŞIK;ÇAKMAK;FIRTINA;KORKUTMAK;2
GÖK GÜRÜLTÜSÜ;SES;ŞİMŞEK;KORKMAK;FIRTINA;GÜRLEMEK;3
DOLU;GÖKTEN;BUZ;TANE;ZARAR;DÜŞMEK;3
SİS;GÖRÜŞ;BEYAZ;SABAH;KAPATMAK;ARABA;3
ÇİĞ;SABAH;ÇİMEN;DAMLA;ISLAK;NEM;5
GÖKKUŞAĞI RENKLERİ;YEDİ;YAĞMUR SONRASI;GÖKYÜZÜ;KEMER;RENKLİ;5
RÜZGÂR;ESMEK;AĞAÇ;SAVURMAK;SERİN;YÖN;1
FIRTINA;RÜZGÂR;YAĞMUR;GEMİ;KOPMAK;DENİZ;2
KASIRGA;RÜZGÂR;DÖNMEK;YIKMAK;HUNİ;AMERİKA;4
SEL;SU;BASMAK;YAĞMUR;TAŞMAK;ZARAR;3
ÇIĞ;KAR;DÜŞMEK;DAĞ;GÖMÜLMEK;TEHLİKE;4
YANGIN;ATEŞ;İTFAİYE;DUMAN;SÖNDÜRMEK;ORMAN;1
DUMAN;ATEŞ;YÜKSELMEK;GRİ;KOKU;BOĞULMAK;2
KÜL;YANMAK;GRİ;KALAN;SİGARA;SAVURMAK;3
KIVILCIM;ATEŞ;KÜÇÜK;SIÇRAMAK;PARLAK;BAŞLAMAK;4
AĞAÇ;YAPRAK;DAL;GÖVDE;ORMAN;GÖLGE;1
YAPRAK;AĞAÇ;YEŞİL;DÖKÜLMEK;SONBAHAR;DAMAR;1
DAL;AĞAÇ;KIRILMAK;KUŞ;UZANMAK;YAPRAK;2
KÖK;TOPRAK;ALTINDA;AĞAÇ;TUTUNMAK;BESLENMEK;3
TOHUM;EKMEK;TOPRAK;BÜYÜMEK;KÜÇÜK;BİTKİ;2
FİDAN;KÜÇÜK AĞAÇ;DİKMEK;BÜYÜMEK;TOPRAK;İNCE;3
ÇİMEN;YEŞİL;YER;BİÇMEK;BAHÇE;ÜSTÜNDE;2
DİKEN;BATMAK;GÜL;SİVRİ;ACITMAK;KAKTÜS;2
ÇAM;AĞAÇ;YEŞİL;İĞNE;YILBAŞI;ORMAN;2
MEŞE;AĞAÇ;SERT;PALAMUT;GÜÇLÜ;ODUN;4
SÖĞÜT;AĞAÇ;SALKIM;SU KENARI;DAL;EĞİK;5
KAVAK;AĞAÇ;UZUN;İNCE;YOL KENARI;HIZLI;4
GÜL;ÇİÇEK;KIRMIZI;DİKEN;KOKU;SEVGİLİ;1
PAPATYA;ÇİÇEK;BEYAZ;SARI ORTA;SEVİYOR;YAPRAK;2
LALE;ÇİÇEK;HOLLANDA;OSMANLI;RENKLİ;SOĞAN;2
MENEKŞE;ÇİÇEK;MOR;KÜÇÜK;SAKSI;KOKU;3
ORMAN;AĞAÇ;YEŞİL;KAYBOLMAK;HAYVAN;YANGIN;1
KUŞ;UÇMAK;KANAT;YUVA;ÖTMEK;TÜY;1
KANAT;UÇMAK;KUŞ;İKİ TANE;ÇIRPMAK;TÜY;2
YUVA;KUŞ;YAPMAK;YUMURTA;DAL;SICAK;2
TÜY;KUŞ;HAFİF;YUMUŞAK;UÇMAK;YASTIK;3
PENÇE;KEDİ;TIRNAK;ÇIKARMAK;YAKALAMAK;TIRMALAMAK;3
BOYNUZ;HAYVAN;BAŞ;SERT;İKİ TANE;GEYİK;3
YELE;AT;BOYUN;UZUN;ASLAN;TARAMAK;4
LEYLEK;KUŞ;GÖÇMEK;BACA;UZUN GAGA;BEBEK;3
BAYKUŞ;KUŞ;GECE;BÜYÜK GÖZ;BİLGE;ÖTMEK;3
KARINCA;KÜÇÜK;ÇALIŞKAN;YUVA;SIRA;TAŞIMAK;1
ARI;BAL;SOKMAK;KOVAN;VIZILDAMAK;ÇİÇEK;1
KELEBEK;KANAT;RENKLİ;ÇİÇEK;TIRTIL;UÇMAK;1
ÖRÜMCEK;AĞ;SEKİZ BACAK;KÖŞE;KORKMAK;BÖCEK;2
SİNEK;VIZILDAMAK;RAHATSIZ;KOVALAMAK;YAZ;KÜÇÜK;1
SİVRİSİNEK;ISIRMAK;KAŞINMAK;YAZ;VIZILTI;KAN;2
SOLUCAN;TOPRAK;UZUN;YUMUŞAK;BALIK;KIVRILMAK;4
SALYANGOZ;YAVAŞ;KABUK;SÜRÜNMEK;İZ;NEMLİ;3
KAPLUMBAĞA;YAVAŞ;KABUK;UZUN YAŞAMAK;SAKLANMAK;TAVŞAN;1
TAVŞAN;UZUN KULAK;ZIPLAMAK;HAVUÇ;HIZLI;YUMUŞAK;1
SİNCAP;AĞAÇ;FINDIK;KUYRUK;ZIPLAMAK;SAKLAMAK;2
TİLKİ;KURNAZ;ORMAN;KUYRUK;KIRMIZI;MASAL;2
KURT;ULUMAK;ORMAN;SÜRÜ;AY;VAHŞİ;2
AYI;BÜYÜK;ORMAN;BAL;KIŞ UYKUSU;KAHVERENGİ;1
GEYİK;BOYNUZ;ORMAN;KOŞMAK;ZARİF;AVLANMAK;3
