kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
KURBAN BAYRAMI;ET;DAĞITMAK;DÖRT GÜN;ZİYARET;HAC;2
ARİFE;BAYRAM;ÖNCESİ;HAZIRLIK;GÜN;MEZARLIK;4
MEVLİT KANDİLİ;DOĞUM;GECE;DUA;CAMİ;ANMA;4
REGAİB;KANDİL;GECE;DUA;RECEP;İBADET;5
MİRAÇ;YOLCULUK;GECE;GÖK;PEYGAMBER;KANDİL;4
BERAT KANDİLİ;GECE;AF;DUA;ŞABAN;İBADET;5
MUHARREM;AY;AŞURE;İLK;HİCRÎ;ANMA;4
HİCRÎ TAKVİM;AY;YIL;GÖÇ;BAŞLANGIÇ;FARK;5
CUMA;GÜN;HAFTA;NAMAZ;TOPLANMAK;BEREKET;2
HZ ÂDEM;İLK;İNSAN;PEYGAMBER;CENNET;YARATILMAK;4
HZ NUH;GEMİ;TUFAN;HAYVAN;PEYGAMBER;SU;3
HZ İBRAHİM;ATEŞ;PUT;KURBAN;PEYGAMBER;HALİL;3
HZ İSMAİL;KURBAN;OĞUL;ZEMZEM;PEYGAMBER;İBRAHİM;4
HZ MUSA;ASA;DENİZ;FİRAVUN;PEYGAMBER;TUR;3
HZ YUSUF;KUYU;RÜYA;MISIR;GÖMLEK;PEYGAMBER;3
HZ YUNUS;BALIK;KARIN;DUA;PEYGAMBER;DENİZ;3
HZ EYYÜP;SABIR;HASTALIK;İMTİHAN;PEYGAMBER;ŞİFA;4
HZ SÜLEYMAN;KUŞ DİLİ;MÜLK;KARINCA;PEYGAMBER;HÜKÜM;4
HZ İSA;BEŞİK;MUCİZE;PEYGAMBER;MERYEM;İNCİL;3
HZ MERYEM;ANNE;İFFET;MABET;İSA;KADIN;4
HZ MUHAMMED;SON;PEYGAMBER;MEKKE;KURAN;ÖRNEK;2
HZ HATİCE;İLK;EŞ;TÜCCAR;DESTEK;İMAN;4
HZ EBUBEKİR;İLK HALİFE;SADIK;DOST;MAĞARA;YÂR;4
HZ ÖMER;ADALET;HALİFE;İKİNCİ;SERT;DEVLET;4
HZ OSMAN;KURAN;ÇOĞALTMAK;HALİFE;ÜÇÜNCÜ;HAYÂ;4
HZ ALİ;İLİM;KAPI;HALİFE;DÖRDÜNCÜ;CESARET;3
TUFAN;SU;GEMİ;YÜKSELMEK;NUH;KISSA;4
KISSA;ANLATI;İBRET;GEÇMİŞ;DERS;KURAN;5
İBRET;DERS;ALMAK;OLAY;DÜŞÜNMEK;GEÇMİŞ;4
MUCİZE;OLAĞANÜSTÜ;PEYGAMBER;İNANDIRMAK;İZİN;ŞAŞIRMAK;3
PUT;TAŞ;TAPMAK;KIRMAK;ESKİ;YANLIŞ;4
TEVHİT;BİR;İNANÇ;ORTAK YOK;ESAS;İMAN;5
ŞİRK;ORTAK;KOŞMAK;YASAK;İNANÇ;BÜYÜK;5
ZİKİR;ANMAK;TEKRAR;TESPİH;GÖNÜL;SÖZ;4
TESBİHAT;NAMAZ;SONRA;SAYMAK;ZİKİR;OTURMAK;5
SALAVAT;PEYGAMBER;SÖYLEMEK;SELAM;DUA;OKUMAK;4
HATİM;KURAN;BAŞTAN SONA;OKUMAK;BİTİRMEK;RAMAZAN;4
MUKABELE;KURAN;DİNLEMEK;TAKİP;RAMAZAN;CAMİ;5
KURAN KURSU;ÖĞRENMEK;ÇOCUK;YAZ;HOCA;OKUMAK;3
HOCA;ÖĞRETMEK;DİN;SAYGI;CAMİ;BİLGİ;2
VAAZ;KONUŞMA;CAMİ;ÖĞÜT;DİNLEMEK;HOCA;4
ÖĞÜT;NASİHAT;BÜYÜK;DİNLEMEK;DOĞRU;SÖZ;3
AHLAK;DAVRANIŞ;GÜZEL;DOĞRU;TERBİYE;İNSAN;3
DÜRÜSTLÜK;DOĞRU;YALAN YOK;GÜVEN;SÖZ;KARAKTER;3
EMANET;BIRAKMAK;GERİ VERMEK;GÜVEN;KORUMAK;SORUMLULUK;3
MERHAMET;ACIMAK;ŞEFKAT;KALP;YARDIM;İNSAN;3
CÖMERTLİK;VERMEK;PAYLAŞMAK;ELİ AÇIK;İKRAM;ÖVGÜ;3
CİMRİLİK;VERMEMEK;SIKI;PARA;KÖTÜ;HUY;3
KİBİR;BÜYÜKLENMEK;BURUN;KÖTÜ;HUY;KENDİNİ;4
TEVAZU;ALÇAK GÖNÜL;KİBİRSİZ;GÜZEL;HUY;DAVRANIŞ;4
HAYÂ;UTANMA;EDEP;GÜZEL;HUY;ÖRTMEK;4
EDEP;TERBİYE;GÜZEL;DAVRANIŞ;SAYGI;ÖĞRENMEK;4
HOŞGÖRÜ;ANLAYIŞ;AF;FARKLI;KABUL;GENİŞ;3
KUL HAKKI;BAŞKASI;ALMAK;HELALLİK;AĞIR;SORUMLULUK;3
İNFAK;VERMEK;MAL;YARDIM;GÖNÜL;İHTİYAÇ;5
İMSAK;SAHUR;SON;VAKİT;BAŞLAMAK;ORUÇ;4
YARATILIŞ;EVREN;İNSAN;İNANÇ;BAŞLANGIÇ;DÜZEN;4
KADER;YAZILMIŞ;İNANÇ;OLACAK;TEVEKKÜL;TAKDİR;3
TEVEKKÜL;GÜVENMEK;ÇALIŞMAK;SONRA;BIRAKMAK;İNANÇ;5
İMTİHAN;SINAV;DÜNYA;ZORLUK;SABIR;İNANÇ;3
NASİP;PAY;GELMEK;RIZIK;BEKLEMEK;İNANIŞ;4
RIZIK;GEÇİM;VERİLEN;BEREKET;ÇALIŞMAK;NASİP;4
HELAL LOKMA;KAZANÇ;DÜRÜST;SOFRA;BEREKET;ÖNEMLİ;4
İYİLİK;YARDIM;GÜZEL;DAVRANIŞ;SEVAP;YAPMAK;2
KÖTÜLÜK;ZARAR;KAÇINMAK;DAVRANIŞ;GÜNAH;YAPMAK;3
ADAK;SÖZ;YERİNE;NİYET;KURBAN;DUA;4
NAMAZ VAKTİ;EZAN;SABAH;ÖĞLE;İKİNDİ;YATSI;3
SABAH NAMAZI;ERKEN;KALKMAK;İLK;GÜNEŞ;ZOR;3
YATSI;GECE;SON;NAMAZ;VAKİT;GEÇ;4
İKİNDİ;ÖĞLEDEN SONRA;NAMAZ;VAKİT;GÖLGE;ÜÇÜNCÜ;4
AKŞAM EZANI;GÜNEŞ;BATMAK;ORUÇ;AÇMAK;VAKİT;2
SELA;CAMİ;OKUMAK;DUYURU;SES;CUMA;5
KAMET;NAMAZ;BAŞLAMAK;İÇERİ;OKUMAK;İMAM;5
SAF TUTMAK;NAMAZ;YAN YANA;DÜZ;CEMAAT;OMUZ;4
MİSVAK;DİŞ;TEMİZLİK;DAL;SÜNNET;AĞIZ;5
HELALLİK;İSTEMEK;GÖNÜL;AF;BORÇ;VEDA;4
AKRABA ZİYARETİ;BAĞ;GİTMEK;GÖNÜL;SEVAP;BAYRAM;4
ANNE HAKKI;CENNET;AYAK;SAYGI;BÜYÜK;ÖNEMLİ;3
YAŞLIYA SAYGI;YER VERMEK;OTOBÜS;BÜYÜK;GÖNÜL;GÜZEL;3
YARDIMSEVERLİK;İYİLİK;PAYLAŞMAK;DESTEK;GÖNÜLLÜ;ÖZELLİK;3
KARDEŞLİK;BİRLİK;SEVGİ;İNSAN;BAĞ;DOSTLUK;3
HUZUR;RAHAT;KALP;SESSİZ;GÖNÜL;İÇ;3
GÖNÜL;KALP;SEVGİ;KIRMAMAK;İÇ;DUYGU;3
KALP KIRMAK;ÜZMEK;SÖZ;PİŞMANLIK;ÖZÜR;GÖNÜL;3
GIYBET;ARKASINDAN;KONUŞMAK;YASAK;DEDİKODU;GÜNAH;4
İFTİRA;YALAN;SUÇLAMAK;ASILSIZ;ZARAR;AĞIR;4
SÖZ VERMEK;TUTMAK;GÜVEN;VAAT;YERİNE;ÖNEMLİ;3
AHDE VEFA;SÖZ;TUTMAK;GÜVEN;DEĞER;BOZMAMAK;5
VEFA;BAĞLILIK;UNUTMAMAK;DOST;İYİLİK;KARŞILIK;4
SADAKAT;BAĞLILIK;GÜVEN;DOST;SÜREKLİ;DEĞİŞMEMEK;4
EMEK;ÇALIŞMAK;ALIN TERİ;KAZANÇ;DEĞER;HARCAMAK;3
ALIN TERİ;ÇALIŞMAK;KAZANÇ;HELAL;EMEK;DÖKMEK;4
İSRAF;BOŞA;HARCAMAK;SU;YASAK;DİKKAT;3
KANAAT;YETİNMEK;AZ;RAZI;HUZUR;GÖZ;5
ŞİFA;İYİLEŞMEK;DUA;HASTA;DİLEMEK;KAVUŞMAK;3
HASTA ZİYARETİ;GİTMEK;GEÇMİŞ OLSUN;SEVAP;MEYVE;GÖNÜL;3
CENAZE;TABUT;NAMAZ;OMUZ;TÖREN;VEDA;3
TABUT;TAŞIMAK;OMUZ;ÖRTÜ;CENAZE;AHŞAP;4
DEFİN;TOPRAK;MEZAR;KOYMAK;TÖREN;SON;5
MEZARLIK;TAŞ;SESSİZ;SERVİ;ZİYARET;DUA;3
SERVİ;AĞAÇ;UZUN;MEZARLIK;YEŞİL;İNCE;4
YASİN;SURE;OKUMAK;KALP;CENAZE;DUA;4
RAHLE;KURAN;AHŞAP;KOYMAK;OKUMAK;KATLANIR;5
CÜZ;KURAN;BÖLÜM;OTUZ;PAYLAŞMAK;OKUMAK;5
ELİF BA;İLK;ÖĞRENMEK;HARF;ARAP;KİTAP;4
ARAPÇA;DİL;KURAN;HARF;SAĞDAN;ÖĞRENMEK;3
TECVİT;OKUMA;KURAL;KURAN;HARF;UZATMA;5
AVLU;CAMİ;ORTA;AÇIK;ŞADIRVAN;GİRİŞ;3
İTİKAF;CAMİ;KALMAK;SON ON;RAMAZAN;İBADET;5
FİTRE;RAMAZAN;VERMEK;KİŞİ;YARDIM;MİKTAR;5
SU SEBİLİ;İÇMEK;BEDAVA;YOL;HAYIR;ÇEŞME;5
AŞEVİ;YEMEK;İHTİYAÇ;DAĞITMAK;SIRA;HAYIR;4
YARDIM KAMPANYASI;BAĞIŞ;TOPLAMAK;İHTİYAÇ;DUYURU;DESTEK;4
İYİLİK ZİNCİRİ;DEVAM;BAŞKASI;YAYILMAK;GÜZEL;ETKİ;4
DİN GÖREVLİSİ;CAMİ;İMAM;MÜEZZİN;ATAMA;HİZMET;4
DİYANET;KURUM;DİN;HİZMET;DEVLET;CAMİ;4
İLMİHAL;KİTAP;BİLGİ;İBADET;ÖĞRENMEK;TEMEL;5
FIKIH;HÜKÜM;İLİM;İBADET;KURAL;ÖĞRENMEK;5
TEFSİR;AÇIKLAMA;AYET;ANLAM;ÂLİM;KİTAP;5
ÂLİM;BİLGİN;İLİM;ÖĞRETMEK;SAYGI;DERİN;4
İCAZET;İZİN;HOCA;VERMEK;BİTİRMEK;BELGE;5
İMAM HATİP;OKUL;EĞİTİM;DİN;LİSE;MESLEK;4
İLAHİ;SÖZ;MÜZİK;OKUMAK;KORO;DİNÎ;3
NAAT;PEYGAMBER;ÖVGÜ;ŞİİR;OKUMAK;DİNÎ;5
EZGİ;MELODİ;SÖYLEMEK;YUMUŞAK;SES;NAKARAT;4
TEKKE;TOPLANMAK;TARİKAT;ESKİ;ZİKİR;YAPI;5
DERVİŞ;SADE;YOL;TEKKE;GEZMEK;GÖNÜL;4
TARİKAT;YOL;TOPLULUK;ŞEYH;ESKİ;ÖĞRETİ;5
ŞEYH;YOL GÖSTEREN;TARİKAT;SAYGI;ÖĞRETİ;BÜYÜK;5
HAK;DOĞRU;ADALET;VERMEK;GERÇEK;ARAMAK;3
HAKSIZLIK;ADALETSİZ;ZARAR;KARŞI;ŞİKÂYET;DÜZELTMEK;3
ZULÜM;HAKSIZLIK;GÜÇLÜ;EZMEK;KARŞI;KÖTÜ;4
MAZLUM;EZİLEN;HAKSIZLIK;YARDIM;SESSİZ;KORUMA;4
ŞEFAAT;ARACI;YARDIM;AHİRET;İSTEMEK;İNANÇ;5
RAHMET;YAĞMUR;BAĞIŞ;GENİŞ;İNANÇ;İYİLİK;4
NUR;IŞIK;AYDINLIK;GÖNÜL;PARLAK;İNANÇ;4
KUTSAL;DEĞERLİ;SAYGI;YER;İNANÇ;ÖZEL;3
İBADET;NAMAZ;ORUÇ;YAPMAK;KULLUK;DÜZENLİ;2
KULLUK;İBADET;BAĞ;İNANÇ;YERİNE;GÖREV;5
HİDAYET;DOĞRU YOL;BULMAK;İNANÇ;NASİP;YÖNELMEK;5
SIRAT;YOL;İNCE;AHİRET;GEÇMEK;İNANIŞ;5
HESAP GÜNÜ;AHİRET;SORMAK;AMEL;KIYAMET;İNANIŞ;4
DİRİLİŞ;KALKMAK;AHİRET;SUR;İNANIŞ;YENİDEN;5
RUH;BEDEN;GÖRÜNMEZ;CAN;İNANÇ;ÜFLEMEK;3
VİCDAN;İÇ SES;DOĞRU;RAHATSIZ;KARAR;DİNLEMEK;3
NEFİS;İSTEK;KONTROL;MÜCADELE;TERBİYE;İÇ;5
HAMD;ÖVGÜ;ŞÜKÜR;SÖZ;İYİLİK;SÖYLEMEK;5
TEKBİR;BÜYÜKLÜK;SÖYLEMEK;BAYRAM;SES;NAMAZ;4
KELİME İ TEVHİT;SÖZ;İNANÇ;TEKRAR;ZİKİR;ESAS;5
HZ HÜSEYİN;KERBELÂ;TORUN;ANMA;MUHARREM;ŞEHİT;4
KERBELÂ;OLAY;MUHARREM;ANMA;SUSUZLUK;TARİH;5
EHLİBEYT;AİLE;PEYGAMBER;SEVGİ;YAKIN;SAYGI;5
HZ FATIMA;KIZ;PEYGAMBER;ANNE;SAYGI;AİLE;4
BİLAL İ HABEŞİ;EZAN;İLK;SES;SAHABE;ÖZGÜRLÜK;5
SAHABE;ARKADAŞ;PEYGAMBER;GÖRMEK;DÖNEM;İLK;4
HİRA;MAĞARA;İLK VAHİY;DAĞ;MEKKE;İNZİVA;5
MESCİD İ NEBEVİ;MEDİNE;PEYGAMBER;YEŞİL;ZİYARET;İKİNCİ;5
HZ HAMZA;AMCA;CESUR;ŞEHİT;UHUD;SAHABE;5
BEDİR;SAVAŞ;İLK;ZAFER;MEDİNE;AZ SAYIDA;5
UHUD;SAVAŞ;DAĞ;OK;SABIR;DERS;5
VEDA HUTBESİ;SON;KONUŞMA;İNSAN;EŞİTLİK;ARAFAT;4
ARAFAT;DAĞ;HAC;VAKFE;DUA;TOPLANMAK;4
MİNA;ŞEYTAN;TAŞ;HAC;ATMAK;ÇADIR;5
FİDYE;ORUÇ;TUTAMAMAK;VERMEK;YERİNE;YARDIM;5
KEFARET;TELAFİ;HATA;YERİNE;VERMEK;ORUÇ;5
ANT İÇMEK;SÖZ;YEMİN;CİDDİ;SÖYLEMEK;TUTMAK;4
YEMİN;SÖZ;CİDDİ;BOZMAMAK;ETMEK;GÜVEN;3
HAYIRLISI;DİLEK;SONUÇ;BEKLEMEK;SÖZ;OLSUN;4
İNŞALLAH;UMUT;GELECEK;SÖZ;OLURSA;SÖYLEMEK;3
MAŞALLAH;BEĞENMEK;NAZAR;SÖZ;GÜZEL;SÖYLEMEK;3
ELHAMDÜLİLLAH;ŞÜKÜR;SÖZ;İYİ;SÖYLEMEK;RAHATLAMA;3
BEDDUA;KÖTÜ;SÖZ;İSTEMEK;KIRGIN;KAÇINMAK;4
GÖNÜL ALMAK;KIRGIN;BARIŞMAK;SÖZ;GÜZEL;YAKLAŞMAK;4
KUTSAL KİTAP;İNDİRİLMEK;DİN;OKUMAK;İNANÇ;SAYFA;3
İNCİL;KİTAP;HRİSTİYAN;İSA;DİN;OKUMAK;4
TEVRAT;KİTAP;YAHUDİ;MUSA;DİN;ESKİ;4
ZEBUR;KİTAP;DAVUT;DİN;İLAHİ;ESKİ;5
KİLİSE;HRİSTİYAN;ÇAN;İBADET;HAÇ;YAPI;3
SİNAGOG;YAHUDİ;İBADET;YAPI;DİN;TOPLANMAK;5
SEMAVİ DİN;KİTAP;PEYGAMBER;İNANÇ;ÜÇ;GÖNDERİLMEK;5
HAÇ;İŞARET;HRİSTİYAN;BOYUN;İKİ ÇİZGİ;SEMBOL;4
ÇAN;KİLİSE;SES;ÇALMAK;KULE;METAL;3
İNANÇ;GÜVENMEK;KALP;DEĞER;BAĞ;İÇ;3
MABET;İBADET;YAPI;KUTSAL;GİRMEK;SAYGI;5
